Started Log File:     logs/MMTK 2021-06-01 11-03-39-COM5.txt
Data Source:     COM5

˜BáNEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
null1	0.00	0.00	-10.47	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.46	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.45	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.43	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.46	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.46	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.43	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.45	0	2	0	0	0	12.11	1	1	1	1	0	
1	0.00	0.00	-10.45	0	2	0	0	0	12.05	1	1	1	1	1	
1	0.00	0.00	-10.47	0	2	0	0	0	12.11	1	1	1	1	1	
1	0.00	0.00	-10.48	0	2	0	0	0	12.05	1	1	1	1	1	
1	0.00	0.00	-10.48	0	2	0	0	0	12.17	1	1	1	1	1	
1	0.00	0.00	-10.48	0	2	0	0	0	12.17	1	1	1	1	1	
1	0.00	0.00	-10.48	0	2	0	0	0	12.05	1	1	1	1	1	
1	0.00	0.00	-10.48	0	2	0	0	0	12.15	1	1	1	1	1	
1	25.00	0.00	-10.47	0	0	0	0	1	12.05	1	1	1	0	1	
1	25.00	0.00	-10.48	0	0	0	0	1	12.15	1	1	1	1	1	
1	25.00	0.00	-10.47	0	0	0	0	1	12.13	1	1	1	1	1	
1	25.00	0.00	-10.46	0	0	0	0	1	12.15	1	1	1	1	1	
