Started Log File:     logs/MMTK 2021-06-01 12-31-06-COM5.txt
Data Source:     COM5

‰LBLBLBáNEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
null1	0.00	0.00	-10.44	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.43	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.44	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.46	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.46	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.44	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.45	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.46	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.46	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.48	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.46	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.44	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.45	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.45	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.43	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.43	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.43	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.45	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.45	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.44	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.44	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.46	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.46	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.45	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.45	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.44	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.44	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.45	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.46	0	2	0	0	0	12.27	1	1	1	1	0	
1	0.00	0.00	-10.45	0	2	0	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.45	0	2	0	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.45	0	2	0	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.45	0	2	0	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.47	0	2	0	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.47	0	2	0	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.46	0	2	0	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.47	0	2	0	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.48	0	2	0	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.48	0	2	0	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.47	0	2	0	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.45	0	2	0	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.46	0	2	0	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.46	0	2	0	0	0	12.27	1	1	1	1	1	
 ========= TARE ==========
NEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
1	250.00	0.29	-0.02	8	4	0	0	0	12.29	1	0	1	1	1	
1	250.00	0.62	-0.03	14	4	0	0	0	12.30	1	0	1	1	1	
1	250.00	1.12	-0.01	24	4	0	0	0	12.30	1	0	1	1	1	
1	250.00	1.45	-0.01	30	4	0	0	0	12.29	1	0	1	1	1	
1	250.00	1.46	-0.01	30	3	0	0	1	12.30	0	1	1	1	1	
1	250.00	1.18	-0.01	24	3	0	0	1	12.30	0	1	1	1	1	
1	250.00	0.85	0.00	18	3	0	0	1	12.30	0	1	1	1	1	
1	250.00	0.35	-0.01	8	3	0	0	1	12.30	0	1	1	1	1	
1	0.00	0.23	-0.02	6	2	0	0	1	12.29	1	1	1	1	1	
1	0.00	0.23	-0.01	6	2	0	0	1	12.29	1	1	1	1	1	
