Started Log File:     logs/MMTK 2021-06-01 12-43-59-COM5.txt
Data Source:     COM5

…LBLBLBLBáNEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
null1	0.00	0.00	-10.46	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.46	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.46	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.48	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.48	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.48	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.46	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.48	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.48	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.48	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.46	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.46	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.47	0	2	0	0	0	12.29	1	1	1	1	0	
1	0.00	0.00	-10.48	0	2	0	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.48	0	2	0	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.45	0	2	0	0	0	12.29	1	1	1	1	1	
1	461.82	0.27	-10.45	6	0	0	0	0	12.25	1	1	1	0	1	
1	423.25	0.86	-10.48	18	0	0	0	0	12.27	1	1	1	0	1	
1	363.37	1.64	-10.49	34	0	0	0	0	12.27	1	1	1	1	1	
1	316.72	2.09	-10.47	42	0	0	0	0	12.27	1	1	1	1	1	
1	248.02	2.65	-10.45	54	0	0	0	0	12.27	1	1	1	1	1	
1	196.13	2.95	-10.44	60	0	0	0	0	12.27	1	1	1	1	1	
1	150.00	3.18	-10.47	64	0	0	0	0	12.27	1	1	1	1	1	
1	150.00	3.48	-10.49	70	0	0	0	0	12.27	1	1	1	1	1	
1	150.00	3.68	-10.48	74	0	0	0	0	12.27	1	1	1	1	1	
1	400.64	4.11	-10.46	84	0	0	0	0	12.29	1	1	1	1	1	
1	400.64	4.64	-10.47	96	0	0	0	0	12.27	1	1	1	1	1	
1	400.64	5.43	-10.49	112	0	0	0	0	12.29	1	1	1	1	1	
1	400.64	5.97	-10.46	122	0	0	0	0	12.25	1	1	1	1	1	
1	400.64	6.77	-10.45	138	0	0	0	0	12.27	1	1	1	1	1	
1	150.00	7.04	-10.47	144	0	0	0	0	12.29	1	1	1	1	1	
1	150.00	7.34	-10.47	150	0	0	0	0	12.29	1	1	1	1	1	
1	177.22	7.56	-10.46	154	0	0	0	0	12.29	1	1	1	1	1	
1	229.50	7.83	-10.48	160	0	0	0	0	12.29	1	1	1	1	1	
1	299.04	8.37	-10.48	170	0	0	0	0	12.29	1	1	1	1	1	
1	353.11	8.80	-10.46	178	0	0	0	0	12.29	1	1	1	1	1	
1	407.61	9.57	-10.45	194	0	0	0	0	12.27	1	1	1	1	1	
1	448.56	9.91	-10.46	200	0	0	0	0	12.29	1	1	1	1	1	
1	498.67	10.86	-10.45	220	0	0	0	0	12.29	1	1	1	1	1	
1	529.66	11.54	-10.46	234	0	0	0	0	12.29	1	1	1	1	1	
1	568.18	12.34	-10.47	250	0	0	0	0	12.29	1	1	1	1	1	
1	591.48	13.10	-10.47	264	0	0	0	0	12.29	1	1	1	1	1	
1	606.80	12.74	-10.47	256	0	0	0	1	12.27	1	1	1	1	1	
1	622.92	11.72	-10.49	236	0	0	0	1	12.25	1	1	1	1	1	
1	629.19	10.89	-10.47	220	0	0	0	1	12.27	1	1	1	1	1	
1	629.19	9.64	-10.46	194	0	0	0	1	12.27	1	1	1	1	1	
1	622.92	8.81	-10.46	178	0	0	0	1	12.25	1	1	1	1	1	
