Started Log File:     logs/MMTK 2021-06-02 11-06-25-COM4.txt
Data Source:     COM4

NEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
null1	0.00	0.00	-10.33	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.34	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.35	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.36	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.35	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.35	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.35	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.37	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.36	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.35	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.35	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.35	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-10.35	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.35	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.36	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.36	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.37	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.35	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.34	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.34	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.33	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-10.34	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.35	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.33	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.37	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.37	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.34	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.35	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-10.34	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.34	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.34	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.32	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.33	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.34	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.34	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.33	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.32	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.34	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.36	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.35	0	1	1	0	0	12.36	1	0	1	1	1	
1	0.00	0.00	-10.34	0	1	1	0	0	12.38	1	0	1	1	1	
